Date,Open,High,Low,Close,Adj Close,Volume
2018-01-30,299.983337,301.000000,296.516663,299.399994,238.821960,411606
2018-01-31,298.666656,300.866669,295.500000,297.500000,237.306427,416385
2018-02-01,298.333344,298.333344,283.666656,290.266663,231.536591,1866192
2018-02-02,290.000000,290.000000,280.666656,283.116669,225.833252,1420314
2018-02-05,278.333344,278.333344,274.000000,275.350006,219.638062,824556
2018-02-06,270.000000,276.666656,266.000000,274.766663,219.172729,1158756
2018-02-07,283.333344,283.333344,276.016663,282.016663,224.955811,858036
2018-02-08,282.000000,283.000000,277.000000,277.750000,221.552429,838467
2018-02-09,277.333344,277.333344,273.666656,274.950012,219.318985,397653
2018-02-12,276.666656,280.333344,276.266663,277.283325,221.180176,361260
2018-02-14,277.416656,277.716675,273.350006,274.433319,218.906860,368094
2018-02-15,278.000000,278.000000,269.683319,271.133331,217.596008,609255
2018-02-16,276.000000,276.000000,269.666656,270.566681,217.141266,348036
2018-02-19,273.000000,273.333344,268.333344,269.116669,215.977554,341574
2018-02-20,271.533325,271.533325,269.000000,269.233337,216.071167,333753
2018-02-21,273.483337,274.666656,268.366669,268.783325,215.710022,450978
2018-02-22,269.666656,269.666656,266.366669,266.983337,214.265488,442296
2018-02-23,269.666656,269.666656,266.116669,266.933319,214.225342,408255
2018-02-26,266.666656,269.799988,266.666656,268.750000,215.683319,471021
2018-02-27,269.933319,269.933319,266.683319,267.616669,214.773758,316743
2018-02-28,268.333344,268.666656,264.833344,266.233337,213.663559,470583
2018-03-01,268.333344,269.333344,265.750000,266.866669,214.171814,1047345
2018-03-05,266.866669,269.000000,265.016663,266.783325,214.104950,4578339
2018-03-06,269.666656,269.666656,264.233337,265.016663,212.687134,436476
2018-03-07,265.933319,265.933319,258.516663,259.416656,208.192886,880617
2018-03-08,261.600006,261.600006,255.000000,255.649994,205.170013,507342
2018-03-09,256.933319,261.333344,254.000000,258.000000,207.055969,461928
2018-03-12,261.616669,264.983337,260.049988,262.816681,210.921539,453828
2018-03-13,264.233337,266.333344,260.700012,265.266663,212.887787,358113
2018-03-14,265.916656,266.666656,264.833344,265.666656,213.208786,617070
2018-03-15,267.666656,268.000000,259.100006,260.416656,208.995438,689772
2018-03-16,262.500000,264.000000,258.666656,259.766663,208.473785,289893
2018-03-19,261.500000,261.500000,255.966660,256.483337,205.838776,281925
2018-03-20,257.966675,257.966675,254.500000,255.149994,204.768738,371028
2018-03-21,255.399994,260.000000,254.500000,255.133331,204.755356,443070
2018-03-22,257.333344,257.333344,243.216660,245.333328,196.890411,886449
2018-03-23,246.000000,246.333328,242.000000,245.949997,197.385315,707475
2018-03-26,246.966660,249.666672,243.000000,244.183334,195.967499,594696
2018-03-27,246.666672,248.666672,245.333328,248.016663,199.043900,356601
2018-03-28,248.966660,254.500000,246.783340,252.066666,202.294205,436857
2018-04-02,258.000000,261.833344,254.666672,257.416656,206.587784,392718
2018-04-03,258.799988,263.666656,257.250000,262.600006,210.747650,268359
2018-04-04,268.966675,271.333344,264.316681,266.899994,214.198608,684333
2018-04-05,271.666656,271.666656,268.383331,269.649994,216.405563,341208
2018-04-06,270.549988,271.333344,269.383331,270.100006,216.766724,209055
2018-04-09,271.666656,273.200012,270.100006,272.466675,218.666077,418470
2018-04-10,273.000000,275.799988,271.766663,273.450012,219.455261,530853
2018-04-11,273.666656,273.666656,269.833344,271.500000,217.890289,470784
2018-04-12,273.299988,275.333344,268.766663,274.916656,220.632309,381561
2018-04-13,275.000000,279.466675,274.333344,279.183319,224.056503,840348
2018-04-16,279.000000,279.466675,273.700012,276.016663,221.515091,553338
2018-04-17,276.666656,277.333344,275.149994,275.916656,221.434830,335067
2018-04-18,276.666656,276.666656,273.700012,275.016663,220.712555,244785
2018-04-19,276.666656,276.666656,269.683319,271.200012,217.649536,172863
2018-04-20,275.000000,275.000000,271.450012,272.833344,218.960327,237516
2018-04-23,274.600006,274.600006,269.316681,271.033325,217.515778,179334
2018-04-24,272.533325,274.000000,268.383331,269.233337,216.071167,275679
2018-04-25,272.166656,272.666656,270.250000,270.600006,217.168015,206076
2018-04-26,271.983337,272.649994,269.000000,269.750000,216.485825,170604
2018-04-27,270.666656,272.399994,269.333344,270.683319,217.234848,223668
2018-04-30,273.333344,275.833344,270.333344,274.666656,220.431702,279639
2018-05-02,276.983337,276.983337,269.333344,271.600006,217.970551,209643
2018-05-03,274.166656,274.166656,270.183319,272.450012,218.652710,237438
2018-05-04,273.333344,273.566681,268.666656,272.750000,218.893463,526677
2018-05-07,275.000000,278.000000,272.466675,273.033325,219.120850,335436
2018-05-08,275.899994,275.899994,273.083344,274.383331,220.204254,576033
2018-05-09,275.466675,275.466675,273.366669,274.116669,219.990295,609480
2018-05-10,275.000000,275.000000,272.666656,273.100006,219.174362,280854
2018-05-11,274.299988,274.299988,270.950012,272.533325,218.719589,250866
2018-05-14,275.366669,275.549988,271.116669,272.283325,218.518921,467643
2018-05-15,273.316681,273.316681,270.666656,271.866669,218.184540,654813
2018-05-16,272.450012,272.633331,271.000000,271.716675,218.064178,394821
2018-05-17,273.333344,273.333344,270.500000,271.583344,217.957153,294621
2018-05-18,272.666656,272.666656,271.333344,271.600006,217.970551,289884
2018-05-21,273.000000,273.000000,268.016663,268.799988,215.723404,244539
2018-05-22,269.966675,270.000000,268.033325,268.683319,215.629791,272919
2018-05-23,268.950012,270.000000,268.450012,268.766663,215.696671,246705
2018-05-24,269.950012,271.583344,266.083344,269.200012,216.044479,410328
2018-05-25,271.600006,279.333344,267.333344,275.549988,221.140564,826602
2018-05-28,277.733337,279.983337,275.033325,277.933319,223.053299,396213
2018-05-29,277.933319,277.933319,275.350006,276.299988,221.742477,267375
2018-05-30,275.633331,280.000000,275.000000,276.733337,222.090271,940380
2018-05-31,279.333344,280.000000,275.666656,276.399994,221.822754,368247
2018-06-01,276.333344,279.333344,276.033325,278.266663,223.320816,583182
2018-06-04,281.000000,281.633331,276.066681,276.950012,222.264145,405981
2018-06-05,279.433319,279.433319,275.666656,276.700012,222.063522,515961
2018-06-06,277.833344,277.850006,274.666656,275.966675,221.474976,375330
2018-06-07,278.166656,278.166656,276.000000,276.383331,221.809357,395217
2018-06-08,277.166656,279.566681,276.100006,277.399994,222.625320,419679
2018-06-11,279.566681,279.666656,277.116669,278.033325,223.133575,518808
2018-06-12,281.250000,291.000000,279.516663,285.000000,228.724625,1074417
2018-06-13,287.783325,289.016663,282.000000,283.200012,227.280060,357684
2018-06-14,285.666656,291.250000,284.383331,286.183319,229.674286,877284
2018-06-15,289.000000,289.333344,285.466675,286.466675,229.901688,445878
2018-06-18,288.966675,288.966675,286.233337,287.633331,230.837936,439107
2018-06-19,288.899994,288.899994,285.549988,286.366669,229.821411,500076
2018-06-20,288.000000,288.000000,285.666656,286.316681,229.781311,518463
2018-06-21,287.500000,287.633331,284.233337,284.966675,228.697876,358698
2018-06-22,286.633331,286.633331,280.000000,283.283325,227.346878,311310
2018-06-25,285.883331,285.883331,281.466675,282.950012,227.079391,174822
2018-06-26,283.466675,284.666656,280.683319,281.133331,225.621429,279021
2018-06-27,282.333344,283.299988,276.666656,282.350006,226.597900,389949
2018-06-28,282.316681,282.333344,275.399994,279.066681,223.962830,498504
2018-06-29,282.200012,284.000000,278.950012,279.916656,224.645004,375246
2018-07-02,281.333344,282.333344,279.333344,280.049988,224.752014,337071
2018-07-03,281.333344,281.700012,279.333344,279.750000,224.511261,239718
2018-07-04,280.933319,286.633331,280.333344,284.966675,228.697876,337863
2018-07-05,286.000000,289.333344,285.100006,286.983337,230.316299,278004
2018-07-06,289.333344,291.649994,288.166656,290.666656,233.272354,372372
2018-07-09,292.000000,292.816681,290.399994,291.149994,233.660217,198324
2018-07-10,290.666656,293.666656,289.000000,292.850006,235.024567,382566
2018-07-11,291.649994,292.333344,289.350006,290.166656,232.871078,322635
2018-07-12,290.333344,290.333344,288.049988,288.600006,231.613770,162696
2018-07-13,287.000000,288.566681,275.566681,277.683319,222.852631,422748
2018-07-16,276.683319,281.683319,271.366669,273.766663,219.709396,266172
2018-07-17,273.933319,279.649994,273.366669,277.783325,222.932922,178113
2018-07-18,278.250000,280.000000,275.666656,277.783325,222.932922,203673
2018-07-19,277.783325,278.116669,273.350006,274.483337,220.284561,285699
2018-07-20,274.333344,277.066681,273.333344,276.166656,221.635468,143073
2018-07-23,276.600006,278.333344,274.066681,277.183319,222.451370,115221
2018-07-24,275.866669,279.200012,275.833344,278.233337,223.294052,194232
2018-07-25,268.333344,274.833344,267.350006,271.350006,226.169662,387720
2018-07-26,271.333344,273.316681,269.000000,269.899994,224.961075,201111
2018-07-27,271.649994,272.333344,267.333344,267.933319,223.321854,381126
2018-07-30,267.666656,269.633331,262.666656,266.049988,221.752090,260514
2018-07-31,264.000000,268.000000,263.666656,264.383331,220.362930,220008
2018-08-01,265.916656,267.950012,262.966675,266.299988,221.960495,280464
2018-08-02,266.666656,272.666656,266.666656,267.750000,223.169067,304641
2018-08-03,268.000000,275.333344,268.000000,274.433319,228.739594,423738
2018-08-06,269.899994,270.649994,267.666656,270.033325,225.072220,761490
2018-08-07,270.033325,271.350006,265.000000,266.116669,221.807678,304557
2018-08-08,266.383331,267.333344,264.100006,264.616669,220.557434,225111
2018-08-09,264.000000,266.633331,264.000000,265.133331,220.988068,173262
2018-08-10,264.000000,267.000000,262.049988,262.483337,218.779327,301056
2018-08-13,260.666656,261.316681,258.333344,259.166656,216.014862,247650
2018-08-14,259.666656,260.116669,256.683319,257.299988,214.459000,243441
2018-08-16,257.166656,257.166656,252.000000,252.800003,210.708267,428859
2018-08-17,254.666672,254.666672,250.833328,253.000000,210.874954,278214
2018-08-20,253.333328,254.000000,248.333328,249.100006,207.624313,464562
2018-08-21,250.466660,250.466660,247.066666,247.816666,206.554657,291366
2018-08-23,250.699997,250.699997,245.750000,246.300003,205.290543,361104
2018-08-24,246.899994,251.633331,245.399994,249.166672,207.679901,324033
2018-08-27,248.666672,251.500000,248.333328,249.949997,208.332809,222879
2018-08-28,251.050003,253.333328,247.016663,248.566666,207.179779,300669
2018-08-29,249.666672,250.350006,244.800003,245.633331,204.734863,411216
2018-08-30,245.899994,246.666672,244.583328,244.883331,204.109726,260151
2018-08-31,245.000000,248.333328,244.350006,246.600006,205.540588,296412
2018-09-03,248.566666,252.500000,247.916672,248.716660,207.304810,349938
